owner_or_insured_id,Age,Gender,Education_Level
5259,38,M,Secondary
2332,53,M,Primary_or_below
3612,22,M,Tertiary
8984,70,F,Tertiary
6707,29,M,Tertiary
10740,29,M,Tertiary
9885,41,F,Tertiary
4747,65,M,Primary_or_below
8688,50,F,Tertiary
4484,24,F,Secondary
7222,55,F,Primary_or_below
7526,25,M,Primary_or_below
10263,72,F,Tertiary
10347,37,M,Secondary
8011,54,M,Secondary
4027,44,M,Tertiary
6020,59,M,Secondary
3738,38,F,Secondary
2983,61,M,Secondary
4438,21,M,Tertiary
3474,51,M,Tertiary
8706,41,M,Secondary
10977,40,M,Primary_or_below
8587,34,M,Secondary
3673,38,M,Tertiary
7595,23,F,Tertiary
10217,55,F,Tertiary
4225,68,M,Secondary
3482,70,F,Primary_or_below
6670,57,F,Secondary
3709,36,M,Primary_or_below
6737,74,M,Primary_or_below
10075,25,F,Secondary
4605,29,M,Primary_or_below
3761,30,M,Tertiary
3277,24,M,Tertiary
2971,60,F,Primary_or_below
6821,52,M,Secondary
1825,76,M,Primary_or_below
8686,27,M,Secondary
4644,62,F,Tertiary
7284,53,F,Primary_or_below
3513,48,F,Primary_or_below
5502,43,M,Secondary
3097,21,F,Primary_or_below
3361,42,F,Secondary
4612,74,M,Primary_or_below
3667,21,F,Tertiary
4490,30,F,Primary_or_below
7530,46,F,Secondary
2448,25,F,Tertiary
10822,72,M,Primary_or_below
10592,71,M,Tertiary
2618,28,F,Primary_or_below
6359,41,F,Primary_or_below
2807,34,F,Primary_or_below
3497,39,M,Primary_or_below
9519,23,M,Primary_or_below
9594,50,F,Secondary
9514,52,F,Primary_or_below
6326,56,M,Primary_or_below
5036,40,M,Tertiary
7214,62,F,Tertiary
3835,57,F,Secondary
6799,80,M,Tertiary
8340,47,M,Tertiary
2177,67,F,Tertiary
3107,73,F,Primary_or_below
10408,30,F,Primary_or_below
4932,18,F,Secondary
5091,26,F,Secondary
5124,51,M,Primary_or_below
7157,59,M,Primary_or_below
6228,61,M,Secondary
10186,60,M,Primary_or_below
10221,36,F,Tertiary
5794,51,F,Secondary
1659,57,F,Primary_or_below
5138,55,F,Primary_or_below
7722,35,F,Secondary
9966,78,F,Secondary
10576,76,F,Primary_or_below
9239,48,F,Primary_or_below
3337,64,M,Secondary
1531,34,M,Primary_or_below
6193,63,M,Primary_or_below
6383,38,M,Secondary
10763,74,M,Secondary
5707,39,F,Tertiary
8351,75,M,Tertiary
2709,41,M,Primary_or_below
2859,56,M,Secondary
6246,35,F,Primary_or_below
2993,51,F,Tertiary
6282,80,F,Secondary
6075,21,F,Secondary
5345,59,M,Secondary
7405,51,M,Tertiary
8816,77,M,Primary_or_below
10032,68,F,Primary_or_below
2750,71,M,Secondary
9592,80,F,Secondary
10639,79,M,Secondary
5426,20,F,Primary_or_below
3033,69,F,Tertiary
1616,57,M,Tertiary
2681,40,F,Primary_or_below
9723,27,M,Tertiary
10134,36,F,Tertiary
6904,74,M,Secondary
6402,64,F,Primary_or_below
7581,73,M,Primary_or_below
8122,73,F,Primary_or_below
8708,65,F,Primary_or_below
7658,57,F,Secondary
7925,73,F,Primary_or_below
1269,51,M,Primary_or_below
3376,55,M,Primary_or_below
6721,36,M,Primary_or_below
8399,53,M,Primary_or_below
2274,68,M,Tertiary
6265,20,F,Secondary
2451,20,M,Primary_or_below
9235,49,F,Primary_or_below
7149,52,M,Tertiary
5910,36,F,Tertiary
3888,76,F,Tertiary
9269,51,F,Primary_or_below
3247,63,F,Primary_or_below
7450,47,F,Tertiary
10975,79,F,Primary_or_below
3133,28,M,Tertiary
